RevolvingUtilizationOfUnsecuredLines,DebtRatio,MonthlyIncome,NumberOfTimes90DaysLate,age,SeriousDlqin2yrs
0.766126609,0.802982129,9120.0,0.0,45.0,1.0
0.957151019,0.121876201,2600.0,0.0,40.0,0.0
0.65818014,0.085113375,3042.0,1.0,38.0,0.0
0.233809776,0.036049682,3300.0,0.0,30.0,0.0
0.213178682,0.375606969,3500.0,0.0,74.0,0.0
0.754463648,0.209940017,3500.0,0.0,39.0,0.0
0.644225962,0.30947621,2500.0,0.0,30.0,0.0
0.01879812,0.53152876,6501.0,0.0,51.0,0.0
0.010351857,0.298354075,12454.0,0.0,46.0,0.0
0.548458062,0.209891754,11362.0,0.0,64.0,0.0
0.166284079,0.18827406,8800.0,0.0,53.0,0.0
0.221812771,0.527887839,3280.0,0.0,43.0,0.0
0.200923382,0.430046338,12300.0,0.0,43.0,0.0
0.025655677,0.475841386,3000.0,0.0,38.0,1.0
0.9999999,0.241103559,2500.0,0.0,39.0,0.0
0.075426584,0.085512189,7916.0,0.0,32.0,0.0
0.04656027,0.241621845,2416.0,0.0,58.0,0.0
0.052436094,0.097672186,8333.0,0.0,58.0,0.0
0.034421473,0.042383047,2500.0,0.0,69.0,0.0
0.392994586,0.436102527,5500.0,0.0,58.0,0.0
0.704073982,0.155201143,4200.0,0.0,28.0,0.0
0.186868556,0.313812313,7000.0,0.0,57.0,0.0
0.693329681,0.257731959,2230.0,0.0,42.0,0.0
0.0,0.073538769,11000.0,0.0,64.0,0.0
0.881836362,0.567858035,4000.0,0.0,50.0,0.0
0.9999999,0.134078212,3400.0,0.0,75.0,0.0
0.304490668,0.808340474,3500.0,0.0,52.0,0.0
0.71998531,0.539554464,5700.0,0.0,41.0,0.0
0.469056842,0.048211004,9250.0,0.0,31.0,0.0
0.718705378,0.170125614,3661.0,0.0,28.0,0.0
0.000602723,0.177787036,16800.0,0.0,70.0,0.0
0.061440132,0.011167837,3133.0,0.0,62.0,0.0
0.140110634,0.689370485,1937.0,0.0,31.0,0.0
0.834048027,0.393662026,13000.0,0.0,38.0,0.0
7.96e-05,0.256339661,6900.0,1.0,70.0,0.0
0.728150491,0.824725092,3000.0,0.0,31.0,1.0
0.9999999,0.0,6518.0538819277845,0.0,62.0,0.0
0.028562367,0.306381499,5750.0,0.0,51.0,0.0
0.992015968,0.008064516,2231.0,0.0,29.0,0.0
0.070853769,0.073147745,13793.0,0.0,55.0,0.0
0.454971915,0.016921775,13000.0,0.0,46.0,0.0
0.401199782,0.351258937,3216.0,0.0,64.0,0.0
0.655569945,0.261609907,5813.0,0.0,35.0,0.0
0.651603452,0.241135663,7783.0,0.0,58.0,0.0
0.027399502,0.00803428,5600.0,0.0,69.0,0.0
0.337520702,0.549877805,4500.0,0.0,60.0,0.0
0.0,0.540983607,3720.0,0.0,67.0,0.0
0.750873672,0.316416365,7723.0,0.0,55.0,0.0
0.004264079,0.111444278,2000.0,1.0,31.0,0.0
0.26948375,0.16106176,9455.0,0.0,64.0,0.0
0.265898391,0.262611807,8384.0,0.0,36.0,0.0
0.827708197,0.369590815,6793.0,1.0,56.0,0.0
0.13306279,0.182881653,10257.0,0.0,49.0,1.0
0.234218112,0.116614347,8600.0,0.0,36.0,0.0
0.122295933,0.694646949,4800.0,0.0,29.0,0.0
0.460376317,0.074155949,4975.0,0.0,37.0,0.0
0.335558577,0.270448637,15000.0,0.0,69.0,0.0
0.183316667,0.111131623,10833.0,0.0,52.0,0.0
0.074861676,0.208842479,4500.0,0.0,66.0,0.0
0.054497069,0.492021814,4950.0,0.0,56.0,0.0
0.029164236,0.395031809,3300.0,0.0,31.0,0.0
0.0,0.316144874,4886.0,0.0,58.0,0.0
0.003749688,0.004061231,3200.0,0.0,64.0,0.0
0.734477501,0.591477634,4716.0,0.0,45.0,1.0
0.080564168,0.487288997,4916.0,0.0,60.0,0.0
0.888822236,0.368403802,3050.0,0.0,34.0,0.0
0.791173628,0.51241535,3100.0,0.0,44.0,0.0
0.24535301,0.288417167,6500.0,1.0,37.0,0.0
0.010531379,0.280664917,5714.0,0.0,57.0,0.0
0.363199686,0.480523957,2900.0,0.0,32.0,0.0
0.032617977,0.006799093,7500.0,0.0,75.0,0.0
0.019387779,0.32591852,4000.0,0.0,34.0,0.0
0.634485057,0.138238573,2690.0,0.0,52.0,0.0
0.888008615,0.299246282,4908.0,0.0,44.0,0.0
0.003108849,0.258939285,8333.0,0.0,57.0,0.0
0.114830941,0.026235802,6250.0,0.0,46.0,0.0
0.635415157,0.519493502,3000.0,0.0,32.0,0.0
0.9999999,0.664221287,8314.0,0.0,62.0,0.0
0.096737158,0.009748781,8000.0,0.0,47.0,0.0
0.186987534,0.023993145,3500.0,0.0,52.0,0.0
0.006541851,0.108089191,10000.0,0.0,68.0,0.0
0.180972181,0.384441575,3097.0,0.0,39.0,0.0
0.06790706,0.149103029,10200.0,0.0,46.0,0.0
0.015271802,0.12290366,8168.0,0.0,68.0,0.0
0.317975796,0.297933792,4500.0,0.0,34.0,0.0
0.297594642,0.239507959,4145.0,0.0,67.0,0.0
0.444837661,0.366545247,14000.0,0.0,58.0,0.0
0.003722015,0.63332301,3228.0,0.0,58.0,0.0
0.0,0.2226598,3300.0,0.0,61.0,0.0
0.151912549,0.266394467,12000.0,0.0,36.0,0.0
0.0,0.351699622,4500.0,0.0,59.0,0.0
0.0,0.517468688,4550.0,0.0,48.0,0.0
0.047311582,0.100920343,3150.0,0.0,51.0,0.0
0.083880003,0.199647533,7943.0,0.0,53.0,0.0
0.093962275,0.112051635,9450.0,0.0,55.0,0.0
0.21955042,0.315983758,5417.0,0.0,54.0,0.0
0.147996253,0.323088235,6799.0,0.0,55.0,0.0
0.243872021,0.534027778,8639.0,0.0,53.0,0.0
0.116676791,0.343593791,3800.0,0.0,31.0,0.0
0.9999999,0.43369976,5821.0,0.0,38.0,0.0
0.496911825,0.452363811,12500.0,0.0,40.0,0.0
0.130902106,0.427882174,3937.0,0.0,48.0,0.0
0.54699881,0.748071979,3500.0,0.0,50.0,0.0
0.072277109,0.025911708,2083.0,0.0,34.0,0.0
0.0,0.370876375,3000.0,0.0,48.0,0.0
0.175932019,0.655812625,3500.0,0.0,57.0,0.0
0.050789842,0.315171207,4000.0,0.0,30.0,0.0
0.0,0.144616356,3166.0,0.0,28.0,0.0
